m,Nit,Nfev,Ngev,Nhev,Delta,StopReason
1,343,1032,679,0,9.138620307728161e-08,OK Found solution
2,241,670,484,0,5.122525096935297e-07,OK Found solution
3,249,946,482,0,1.898650330108364e-07,OK Found solution
4,203,561,405,0,5.184114190891228e-09,OK Found solution
5,134,416,267,0,9.652097263788513e-08,OK Found solution
6,124,415,244,0,1.3487051294538745e-08,OK Found solution
7,105,301,209,0,1.310054117172036e-08,OK Found solution
8,127,393,255,0,1.0433460122361378e-08,OK Found solution
9,104,331,207,0,5.4379020955529445e-09,OK Found solution
10,87,277,171,0,8.673161858308191e-09,OK Found solution
11,91,247,182,0,3.827021604897906e-09,OK Found solution
12,89,258,181,0,8.281450209942353e-10,OK Found solution
13,76,242,148,0,1.7877120588103824e-09,OK Found solution
14,79,237,158,0,1.1562098464718694e-09,OK Found solution
15,71,186,145,0,1.2660542297822489e-09,OK Found solution
16,79,215,156,0,2.585222458904791e-09,OK Found solution
17,74,208,148,0,1.1309942902097285e-09,OK Found solution
18,70,209,140,0,3.1362313411762068e-09,OK Found solution
19,62,188,123,0,2.9707388350982855e-09,OK Found solution
20,66,210,130,0,9.92189094456393e-10,OK Found solution
21,67,211,133,0,2.169774419041327e-09,OK Found solution
22,61,146,125,0,7.42321102427622e-09,OK Found solution
23,62,168,122,0,5.5825499999083334e-09,OK Found solution
24,59,139,118,0,7.93264885831582e-10,OK Found solution
25,60,155,121,0,6.482582083138733e-10,OK Found solution
26,60,175,118,0,1.1448513363619208e-10,OK Found solution
27,59,174,117,0,3.638626817247636e-10,OK Found solution
28,61,175,121,0,7.730232350911781e-11,OK Found solution
29,62,203,123,0,1.9072980992870686e-10,OK Found solution
30,57,156,114,0,4.2961833266115637e-10,OK Found solution
31,58,194,117,0,1.6092881742660976e-10,OK Found solution
32,57,178,112,0,1.2967347014437877e-10,OK Found solution
33,53,140,106,0,2.8857531143721364e-10,OK Found solution
34,52,157,103,0,6.604971160880719e-10,OK Found solution
35,50,132,99,0,7.757079912741803e-10,OK Found solution
36,48,130,95,0,4.1613834626600757e-10,OK Found solution
37,50,131,101,0,8.222428451399333e-10,OK Found solution
38,48,130,96,0,1.2237650833666879e-10,OK Found solution
39,47,128,93,0,2.7978121422633557e-10,OK Found solution
40,47,138,92,0,8.193489962527047e-10,OK Found solution
41,46,126,92,0,3.155781271661115e-10,OK Found solution
42,46,122,92,0,8.587065814543625e-11,OK Found solution
43,46,122,92,0,7.470807706441987e-11,OK Found solution
44,46,133,92,0,7.686794841472389e-11,OK Found solution
45,46,133,92,0,7.686794841472389e-11,OK Found solution
46,46,133,92,0,7.686794841472389e-11,OK Found solution
47,46,133,92,0,7.686794841472389e-11,OK Found solution
48,46,133,92,0,7.686794841472389e-11,OK Found solution
49,46,133,92,0,7.686794841472389e-11,OK Found solution
50,46,133,92,0,7.686794841472389e-11,OK Found solution
51,46,133,92,0,7.686794841472389e-11,OK Found solution
52,46,133,92,0,7.686794841472389e-11,OK Found solution
53,46,133,92,0,7.686794841472389e-11,OK Found solution
54,46,133,92,0,7.686794841472389e-11,OK Found solution
55,46,133,92,0,7.686794841472389e-11,OK Found solution
56,46,133,92,0,7.686794841472389e-11,OK Found solution
57,46,133,92,0,7.686794841472389e-11,OK Found solution
58,46,133,92,0,7.686794841472389e-11,OK Found solution
59,46,133,92,0,7.686794841472389e-11,OK Found solution
60,46,133,92,0,7.686794841472389e-11,OK Found solution
61,46,133,92,0,7.686794841472389e-11,OK Found solution
62,46,133,92,0,7.686794841472389e-11,OK Found solution
63,46,133,92,0,7.686794841472389e-11,OK Found solution
64,46,133,92,0,7.686794841472389e-11,OK Found solution
65,46,133,92,0,7.686794841472389e-11,OK Found solution
66,46,133,92,0,7.686794841472389e-11,OK Found solution
67,46,133,92,0,7.686794841472389e-11,OK Found solution
68,46,133,92,0,7.686794841472389e-11,OK Found solution
69,46,133,92,0,7.686794841472389e-11,OK Found solution
70,46,133,92,0,7.686794841472389e-11,OK Found solution
71,46,133,92,0,7.686794841472389e-11,OK Found solution
72,46,133,92,0,7.686794841472389e-11,OK Found solution
73,46,133,92,0,7.686794841472389e-11,OK Found solution
74,46,133,92,0,7.686794841472389e-11,OK Found solution
75,46,133,92,0,7.686794841472389e-11,OK Found solution
76,46,133,92,0,7.686794841472389e-11,OK Found solution
77,46,133,92,0,7.686794841472389e-11,OK Found solution
78,46,133,92,0,7.686794841472389e-11,OK Found solution
79,46,133,92,0,7.686794841472389e-11,OK Found solution
80,46,133,92,0,7.686794841472389e-11,OK Found solution
81,46,133,92,0,7.686794841472389e-11,OK Found solution
82,46,133,92,0,7.686794841472389e-11,OK Found solution
83,46,133,92,0,7.686794841472389e-11,OK Found solution
84,46,133,92,0,7.686794841472389e-11,OK Found solution
85,46,133,92,0,7.686794841472389e-11,OK Found solution
86,46,133,92,0,7.686794841472389e-11,OK Found solution
87,46,133,92,0,7.686794841472389e-11,OK Found solution
88,46,133,92,0,7.686794841472389e-11,OK Found solution
89,46,133,92,0,7.686794841472389e-11,OK Found solution
90,46,133,92,0,7.686794841472389e-11,OK Found solution
91,46,133,92,0,7.686794841472389e-11,OK Found solution
92,46,133,92,0,7.686794841472389e-11,OK Found solution
93,46,133,92,0,7.686794841472389e-11,OK Found solution
94,46,133,92,0,7.686794841472389e-11,OK Found solution
95,46,133,92,0,7.686794841472389e-11,OK Found solution
96,46,133,92,0,7.686794841472389e-11,OK Found solution
97,46,133,92,0,7.686794841472389e-11,OK Found solution
98,46,133,92,0,7.686794841472389e-11,OK Found solution
99,46,133,92,0,7.686794841472389e-11,OK Found solution
100,46,133,92,0,7.686794841472389e-11,OK Found solution
